,count,unique,top,freq,mean,std,min,25%,50%,75%,max,median,missing_values
Timestamp,525600,525600,2022-08-08 23:44,1,,,,,,,,,0
GHI,525600.0,,,,241.95882077625572,330.10178719473936,0.0,0.0,1.8,483.4,1413.0,1.8,0
DNI,525600.0,,,,167.44186624809745,261.5475324834319,0.0,0.0,0.0,314.2,952.3,0.0,0
DHI,525600.0,,,,116.99303348554032,157.46361880833496,0.0,0.0,1.6,216.3,759.2,1.6,0
ModA,525600.0,,,,236.5894961948249,326.89485851507413,0.0,0.0,4.5,463.7,1342.3,4.5,0
ModB,525600.0,,,,228.883575913242,316.53651537980164,0.0,0.0,4.3,447.9,1342.3,4.3,0
Tamb,525600.0,,,,28.179682838660575,5.924296981332788,11.0,24.2,28.0,32.3,43.8,28.0,0
RH,525600.0,,,,54.4879691780822,28.073068781205844,2.1,28.8,55.1,80.1,100.0,55.1,0
WS,525600.0,,,,2.121112823439878,1.6034658845357102,0.0,1.0,1.9,3.1,19.5,1.9,0
WSgust,525600.0,,,,2.8091948249619483,2.029119651774774,0.0,1.3,2.6,4.1,26.6,2.6,0
WSstdev,525600.0,,,,0.4733896499238964,0.2733946213736333,0.0,0.4,0.5,0.6,4.2,0.5,0
WD,525600.0,,,,153.43517199391172,102.33284204706163,0.0,59.0,181.0,235.1,360.0,181.0,0
WDstdev,525600.0,,,,8.582406582952814,6.385864053158973,0.0,3.7,8.6,12.3,99.4,8.6,0
BP,525600.0,,,,994.197199391172,2.474993197988568,985.0,993.0,994.0,996.0,1003.0,994.0,0
Cleaning,525600,2,True,278722,,,,,,,,1.0,0
Precipitation,525600.0,,,,0.001904870624048706,0.03711520540633969,0.0,0.0,0.0,0.0,2.5,0.0,0
TModA,525600.0,,,,35.2460256849315,14.807257528633412,9.0,24.2,30.0,46.9,81.0,30.0,0
TModB,525600.0,,,,32.47173554033485,12.348743384105228,8.1,23.6,28.9,41.5,72.5,28.9,0
Comments,0.0,,,,,,,,,,,,525600
